,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
183,OYO Rooms 057 Dwarka Sector 19,Dwarka,Delhi,₹ 1649,₹ 1237,25% OFF,SOLD OUT 
184,OYO Homes 456 Rani Bagh,Rani Bagh,Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
185,OYO Rooms 480 IGI Airport 4,"Road no 2, Mahipalpur",Delhi,₹ 1649,₹ 1237,25% OFF,SOLD OUT 
186,OYO Premium 129 Dwarka Sector 7,Dwarka,Delhi,₹ 3799,₹ 2849,25% OFF,SOLD OUT 
187,OYO Homes 438 Janakpuri,Janak Puri,Delhi,₹ 1649,₹ 1237,25% OFF,SOLD OUT 
188,OYO Premium 050 Jasola DAV,Jasola,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
189,OYO Rooms 203 llahi Bux Marg Karol Bagh,Karol Bagh,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
190,OYO Rooms 351 Saraswati Marg Karol Bagh,Saraswati Marg,Delhi,₹ 1699,₹ 1274,25% OFF,SOLD OUT 
191,OYO Homes 501 Vasant Kunj Near Fortis,Shanti Kunj,Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
192,OYO Premium 559 Connaught Place Travellers Delight,Connaught Circus,Delhi,₹ 5999,₹ 4499,25% OFF,SOLD OUT 
193,OYO Rooms 522 Karol Bagh 17A-13 Gurudwara Road,Karol Bagh,Delhi,₹ 1599,₹ 1199,25% OFF,SOLD OUT 
194,OYO Rooms 216 Ministry of Rural Development Delhi,East Patel Nagar,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
195,OYO Rooms 026 Karol Bagh,Karol Bagh,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
196,OYO Rooms 271 Near Hanuman Statue Karol Bagh,Karol Bagh,Delhi,₹ 1599,₹ 1199,25% OFF,SOLD OUT 
197,OYO Premium 165 Rajouri Garden Metro Station,Rajouri Garden,Delhi,₹ 3799,₹ 2849,25% OFF,SOLD OUT 
198,OYO Rooms 313 Channa Market 14A/4 Karol Bagh,Karol Bagh,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
199,OYO Rooms 078 Ring Road GK1,Near Nehru Place,Delhi,₹ 4199,₹ 3149,25% OFF,SOLD OUT 
200,OYO Rooms 174 New Delhi Railway Station 2,Ram Nagar,Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
201,OYO Premium 546 Green Park Metro,Near Green Park Metro,Delhi,₹ 2999,₹ 2249,25% OFF,SOLD OUT 
202,OYO Rooms 085 Hauz Khas District Park,Safdarjung Enclave,Delhi,₹ 2999,₹ 2249,25% OFF,SOLD OUT 
203,OYO Rooms 301 Vasant Kunj Near DPS,Opposite DPS School Gate No. 1,Delhi,₹ 2599,₹ 1949,25% OFF,SOLD OUT 
