Type,F1,F2,F3,F4
m,0.136810949,0.048318782,0.185129731,0.123419821
m,0.249207442,0.121761541,0.370968983,0.247312655
m,0.08078996,0.082583705,0.163373665,0.108915777
m,0.254152822,0.118246335,0.372399157,0.248266105
m,0.22672786,0.133458798,0.360186658,0.240124439
t,0.143742821,0.084754649,0.22849747,0.152331647
m,0.124426369,0.09608702,0.220513389,0.147008926
m,0.219829544,0.093170441,0.312999985,0.208666657
m,0.236680728,0.123046974,0.359727702,0.239818468
m,0.043285862,0.092404472,0.135690334,0.090460223
t,0.120788148,0.073292703,0.194080851,0.129387234
m,0.138051862,0.067690764,0.205742626,0.137161751
